Country, Latitude, Longitude
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
Andorra,42.5063,1.5218
Angola,-11.202692,17.873887
Anguilla,18.220554,-63.068615
Antigua and Barbuda,17.060816,-61.796428
Argentina,-38.416097,-63.616672
Aruba,12.52111,-69.968338
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Bahamas,25.03428,-77.39628
Bahrain,25.930414,50.637772
Bangladesh,23.684994,90.356331
Barbados,13.193887,-59.543198
Belgium,50.503887,4.469936
Belize,17.189877,-88.49765
Benin,9.30769,2.315834
Bermuda,32.321384,-64.75737
Bhutan,27.514162,90.433601
Bolivia (Plurinational State of),16.2902,63.5887
Botswana,-22.328474,24.684866
Brazil,-14.235004,-51.92528
British Virgin Islands,18.420695,-64.639968
Brunei Darussalam,4.5353,114.7277
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Burundi,-3.373056,29.918886
Cabo Verde,16.5388,23.0418
Cambodia,12.565679,104.990963
Cameroon,7.369722,12.354722
Canada,56.130366,-106.346771
Cayman Islands,19.513469,-80.566956
Central African Republic,6.611111,20.939444
Chad,15.454166,18.732207
Chile,-35.675147,-71.542969
China,35.86166,104.195397
China - Hong Kong SAR,22.3964,114.1095
China - Macao SAR,22.1987,113.5439
Colombia,4.570868,-74.297333
Comoros,-11.875001,43.872219
Congo,4.0383,21.7587
Cook Islands,-21.236736,-159.777671
Costa Rica,9.748917,-83.753428
Cote d'Ivoire,7.539989,-5.54708
Cuba,21.521757,-77.781167
Cyprus,35.126413,33.429859
D.P.R. of Korea,40.3399,127.5101
D.R. of the Congo,4.0383,21.7587
Denmark,56.26392,9.501785
Djibouti,11.825138,42.590275
Dominica,15.414999,-61.370976
Dominican Republic,18.735693,-70.162651
Ecuador,-1.831239,-78.183406
Egypt,26.820553,30.802498
El Salvador,13.794185,-88.89653
Equatorial Guinea,1.650801,10.267895
Fiji,-16.578193,179.414413
Finland,61.92411,25.748151
France,46.227638,2.213749
French Polynesia,-17.679742,-149.406843
Gabon,-0.803689,11.609444
Gambia,13.443182,-15.310139
Germany,51.165691,10.451526
Ghana,7.946527,-1.023194
Greece,39.074208,21.824312
Greenland,71.706936,-42.604303
Grenada,12.262776,-61.604171
Guatemala,15.783471,-90.230759
Guinea,9.945587,-9.696645
Guinea-Bissau,11.803749,-15.180413
Guyana,4.860416,-58.93018
Haiti,18.971187,-72.285215
Honduras,15.199999,-86.241905
Hungary,47.162494,19.503304
Iceland,64.963051,-19.020835
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran (Islamic Republic of),32.4279,53.688
Iraq,33.223191,43.679291
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Jordan,30.585164,36.238414
Kenya,-0.023559,37.906193
Kiribati,-3.370417,-168.734039
Kuwait,29.31166,47.481766
Lao People's DR,19.5827,102.495496
Lebanon,33.854721,35.862285
Lesotho,-29.609988,28.233608
