wb,country,productdiversification,gdp
AGO,,4.18931,561.5628
ALB,,4.33025,673.1234
ARG,,3.12299,2218.866
AUS,,3.46554,2699.944
AUT,,1.68478,2250.907
BEL,,1.2136,2278.34
BEN,,4.41923,235.8604
BFA,,4.658,110.79
BGR,,2.5695,564.3698
BHR,,4.97085,6033.93
BHS,,4.48839,2867.797
BRA,,4.11525,728.9778
CAN,,2.48779,2794.673
CHE,,1.83391,4775.386
CHL,,4.5871,1075.12
CHN,,2.14433,52.25947
CIV,,4.30905,446.8333
CMR,,4.0759,260.9429
COD,,3.62202,305.2306
COL,,5.30568,682.0825
DEU,,1.32501,2628.677
DOM,,4.57987,566.837
EGY,,4.21819,559.8981
ESP,,2.40072,1602.739
FIN,,3.08312,1992.012
FRA,,1.00641,2400.87
GBR,,1.34324,2395.298
GHA,,5.23955,433.2034
GRC,,3.45555,1331.739
GUY,,4.60152,718.2006
HKG,,2.34032,942.1414
HUN,,1.78558,977.8391
IDN,,3.92221,251.716
IND,,3.08527,179.5562
IRN,,4.81223,1428.568
ISL,,4.50137,1986.21
ISR,,3.25392,1513.167
ITA,,1.39686,2169.932
JAM,,4.49592,975.5583
JOR,,5.55827,941.4527
JPN,,1.50531,1252.348
KEN,,4.02171,256.8501
KOR,,3.13323,254.4694
KWT,,6.13905,30963.7
LBN,,4.80461,3186.056
LBY,,5.85295,2123.287
LKA,,5.12762,216.3231
MAR,,3.17412,445.8519
MDG,,3.49615,413.0651
MEX,,3.02901,1127.14
MLI,,4.69142,162.8338
MUS,,6.09433,623.4043
NER,,5.43286,186.585
NOR,,2.078,3385.662
NPL,,4.88241,178.8342
OMN,,5.64508,1886.401
PAK,,4.13959,210.885
PAN,,3.50206,880.4388
PER,,3.7543,984.0375
PHL,,3.98471,474.2897
PRT,,2.15772,1035.038
PRY,,3.60346,554.3118
ROU,,3.12852,977.0385
SAU,,5.80965,7120.576
SDN,,4.99771,154.4683
SGP,,2.77595,1006.134
SYR,,4.76156,472.2155
TGO,,3.82183,216.725
THA,,3.88474,294.9504
TUN,,3.79986,359.7793
TUR,,3.56727,787.8515
URY,,3.76509,1201.528
USA,,1.38257,3221.954
VEN,,4.87927,2624.615
ZAF,,2.74139,1286.458
