wb,country,productdiversification,gdp
AGO,Angola,3.7819901,796.67059
ALB,Albania,2.89064,770.64948
ARG,Argentina,2.7037599,2518.7068
AUS,Australia,2.5797901,3886.1416
BEN,Benin,3.4918399,320.36758
BFA,Burkina Faso,4.2558198,175.6976
BGR,Bulgaria,2.1166899,937.16583
BHS,"Bahamas, The",3.6208999,3795.2561
BLZ,Belize,5.8919902,503.27399
BOL,Bolivia,4.7203999,713.09705
BRA,Brazil,3.4986,1143.2664
BRB,Barbados,3.6805,1265.1752
CAF,Central African Republic,4.7565098,181.75827
CAN,Canada,2.2557099,3981.3311
CHE,Switzerland,1.78962,6312.5347
CHL,Chile,4.7729802,1415.6499
CIV,Côte d'Ivoire,4.2469301,586.0249
CMR,Cameroon,4.1624899,376.60474
COD,"Congo, Democratic Republic of the",3.8482499,374.59506
COG,"Congo, Republic of",3.9867799,660.53815
COL,Colombia,4.5187101,886.00122
COM,Comoros,4.3530598,239.23891
CYP,Cyprus,3.5485699,1748.5264
DNK,Denmark,1.70199,4130.0581
DOM,Dominican Republic,4.59903,634.91339
DZA,Algeria,5.0046701,1839.4384
EGY,Egypt,3.7897699,711.57416
ESP,Spain,1.76755,2540.9644
FIN,Finland,2.6403501,2750.4197
FJI,Fiji,4.5250401,738.25946
GAB,Gabon,4.5959001,3833.1936
GHA,Ghana,4.60499,464.69724
GMB,"Gambia, The",4.6356602,215.26122
GRC,Greece,2.7681601,2440.8679
GTM,Guatemala,3.4733901,963.93024
GUY,Guyana,4.2690401,823.2652
HKG,Hong Kong SAR,2.7630401,1449.7694
HND,Honduras,4.2727399,615.73444
HTI,Haiti,3.7319901,365.849
HUN,Hungary,1.71173,1511.03
IDN,Indonesia,3.80005,303.23056
IND,India,2.6315801,221.3089
IRN,Iran,5.1187601,2678.5447
ISL,Iceland,4.2925701,2729.6812
ISR,Israel,3.102,2187.7703
ITA,Italy,1.3679301,3227.5579
JAM,Jamaica,4.3074198,1341.9802
JOR,Jordan,3.0900099,1406.5616
JPN,Japan,1.51226,2384.1782
KEN,Kenya,3.4779601,331.8219
KOR,Korea,2.95663,417.62073
LAO,Lao P.D.R.,4.4949298,183.21118
LBN,Lebanon,2.19011,4394.8335
LKA,Sri Lanka,4.89921,294.12769
MAR,Morocco,3.3889599,559.15094
MDG,Madagascar,3.7028799,481.99939
MEX,Mexico,2.4231701,1677.0573
MLI,Mali,4.2250299,286.34955
MUS,Mauritius,5.77842,648.51349
MYS,Malaysia,3.7916801,902.19238
NER,Niger,5.4512501,210.87279
NOR,Norway,2.0645101,4826.6978
NPL,Nepal,3.23153,200.24179
NZL,New Zealand,3.4812601,3539.49
OMN,Oman,5.5302801,3540.5002
PAK,Pakistan,3.5410199,312.29788
PAN,Panama,3.40573,1317.165
PER,Peru,3.76562,1298.0319
PHL,Philippines,3.7176399,618.18262
PNG,Papua New Guinea,4.07055,274.78522
POL,Poland,1.94725,1353.9531
PRT,Portugal,2.0153,1708.4348
PRY,Paraguay,3.3794,668.60852
ROU,Romania,2.2349501,1302.1365
RWA,Rwanda,5.1530399,175.52005
SDN,Sudan,4.4684601,170.67056
SEN,Senegal,3.6805301,405.50372
SGP,Singapore,2.7867401,1626.0948
SYR,Syria,3.5881,498.11044
TCD,Chad,5.46419,226.1557
TGO,Togo,4.5773101,346.66824
THA,Thailand,3.5579,468.46432
TUN,Tunisia,3.39802,490.20239
TUR,Turkey,3.7627299,1106.7592
TZA,Tanzania,3.6003101,256.9342
UGA,Uganda,5.2099199,225.30952
URY,Uruguay,3.75806,1398.5551
VEN,Venezuela,5.13555,3444.6196
ZAF,South Africa,2.7310901,1842.8805
ZMB,Zambia,5.9162798,755.99207
