WB,Country,Product Diversification,GDP
ROW,48,,
ABW,,3.0062,
ADO,,2.82048,
AFG,Afghanistan,2.91196,999.2376953
AGO,Angola,6.24541,3478.576309
AIA,Anguilla,3.79318,26975.48799
ALB,Albania,2.96642,6379.657318
ARE,United Arab Emirates,3.67891,92344.48045
ARG,Argentina,2.28059,14043.71551
ARM,Armenia,3.92264,4721.849184
ATG,Antigua and Barbuda,5.71749,19894.49527
AUS,Australia,2.40185,35903.87348
AUT,Austria,1.48973,36715.14606
AZE,Azerbaijan,4.97786,6860.603864
BDI,Burundi,5.45067,606.283909
BEL,Belgium,,35314.02867
BEN,Benin,3.83055,1507.9933
BFA,Burkina Faso,5.08599,1129.443906
BGD,Bangladesh,4.64211,1854.687646
BGR,Bulgaria,1.89789,11838.73106
BHR,Bahrain,3.26619,38481.58935
BHS,"Bahamas, The",4.64149,22900.83345
BIH,Bosnia and Herzegovina,2.31013,6891.944437
BLR,Belarus,3.90991,9619.160857
BLZ,Belize,3.57724,6808.61054
BMU,,5.40951,
BOL,Bolivia,3.60293,4054.743091
BRA,Brazil,1.93807,11056.02119
BRB,Barbados,2.39919,13451.32018
CAF,Central African Republic,4.55645,751.6583247
CAN,Canada,2.05804,36079.09802
CHE,Switzerland,1.97852,45313.06107
CHL,Chile,3.34242,15083.50092
CHN,China,2.07232,5060.789385
CIV,Côte d'Ivoire,3.73467,2409.887226
CMR,Cameroon,4.2177,2292.265455
COD,"Congo, Democratic Republic of the",4.31038,453.2274775
COG,"Congo, Republic of",5.79402,4686.42669
COL,Colombia,2.77152,8324.620919
COM,Comoros,4.26238,1415.216717
CPV,Cabo Verde,4.14542,4277.684867
CRI,Costa Rica,3.35767,9950.237752
CUB,,4.26354,
CYM,,5.90592,
CYP,Cyprus,2.03436,31131.00753
CZE,Czech Republic,1.74448,22732.25339
DEU,Germany,1.66902,34021.90186
DJI,Djibouti,2.29417,2152.88327
DMA,Dominica,2.91324,7690.097737
DNK,Denmark,1.74785,38699.63946
DOM,Dominican Republic,2.76742,8137.522375
DZA,Algeria,5.54816,11078.01919
ECU,Ecuador,4.24334,7672.060083
EGY,Egypt,2.21875,8131.830267
ERI,Eritrea,3.42896,1185.889429
ESP,Spain,1.70269,29648.95755
EST,Estonia,2.07487,19727.9271
ETH,Ethiopia,4.09748,660.6791068
FIN,Finland,2.43531,34545.62167
FJI,Fiji,3.05,6611.543288
FRA,France,1.56921,33571.06125
FRO,,5.03596,
GAB,Gabon,5.4669,14923.41563
GBR,United Kingdom,1.7467,33343.85796
GEO,Georgia,2.86924,4328.042109
GHA,Ghana,3.7783,2335.000297
GIB,,4.82888,
GIN,Guinea,4.47265,1075.90356
GMB,"Gambia, The",3.15383,1311.184006
GNB,Guinea-Bissau,5.83861,1154.912973
GNQ,Equatorial Guinea,6.0922,38977.84239
GRC,Greece,1.83315,27120.9437
GRD,Grenada,4.05117,10590.0589
GRL,,4.95427,
GTM,Guatemala,2.66303,5751.525908
GUY,Guyana,3.72367,4222.894965
HKG,Hong Kong SAR,2.42563,36306.39126
HND,Honduras,3.62324,3527.93931
HRV,Croatia,1.78608,17176.38218
HTI,Haiti,5.19076,1390.816005
HUN,Hungary,2.41919,19923.28659
IDN,Indonesia,2.15014,6126.592838
IND,India,1.99077,2906.824955
IRL,Ireland,3.2028,42449.05579
IRN,Iran,5.16316,13148.99662
IRQ,Iraq,6.28571,9930.044586
ISL,Iceland,3.92282,35582.634
ISR,Israel,2.81299,23498.13629
ITA,Italy,1.42267,33112.34674
JAM,Jamaica,4.51221,7610.059516
JOR,Jordan,2.51571,8180.229464
JPN,Japan,2.19083,30203.57168
KAZ,Kazakhstan,4.20882,13841.15592
