Country,ISIC_AB,ISIC_CE,ISIC_D,ISIC_F,ISIC_GH,ISIC_I,ISIC_JP,ISIC_C_E
Afghanistan,.7623052869153004,.0065864816531103,.1009125804688754,.1031981309177385,.0444312852158918,.0279067419505787,.0441754706533698,-.094326101
Albania,.1756041104556413,.0558723303805376,.0785688550614663,.4814304727585926,.1731102441680964,.0390374815391179,.1521873543063592,-.022696525
Algeria,.0672619469084358,.0501739032986899,.0431133072172196,.6476574709757884,.0973332971579302,.0442547808612788,.0769681392899198,.0070605963
Andorra,.0052263108214559,.1307799480385954,.0416391355969196,.0601898224704454,.336170183973585,.0336235924365993,.4340101422227554,.08914081
Angola,.096585424604316,.0473767359062252,.0901958858652241,.322675733997785,.3330723241090223,.0446413160091304,.1491912121520705,-.04281915
Anguilla,.0613052235240783,.1091562711381603,.0208013491119386,.0504610267105521,.3096878217937044,.0779082379650018,.3907278872132176,.088354923
Antigua and Barbuda,.0603096758483456,.0692323175913959,.0430087692985666,.0596206037463328,.4181224986048887,.1039112001406542,.2871327134779206,.026223548
Argentina,.0778938992648294,.0751233896251444,.2635498378104531,.3194608843545644,.2949308415197715,.0492940112311436,.1843590573935967,-.18842645
Armenia,,,,,,,,
Aruba,.0052746801150212,.0681783345810817,.0209283343416479,.091286039892929,.474824398297783,.0912278693038502,.2692086744883235,.047249999
Australia,.0389597139661633,.0819915383386199,.2019711340285311,.2721545391603976,.4087168002091394,.0554282947213174,.1503493708711857,-.1199796
Austria,.0285261936547915,.0993234125449087,.1885190145613621,.2288754608272387,.4163151264737257,.0691076115127202,.1537524227578065,-.089195602
Azerbaijan,,,,,,,,
Bahamas,.0242448236302786,.0605359029665767,.0368973299557279,.0718865592274853,.5176033109088956,.0753499217106914,.2482439204311184,.023638573
Bahrain,.0033160999261155,.0305819992927515,.0427756066475576,.6593855799963881,.1286192598078548,.0180518973920584,.046339509088853,-.012193607
Bangladesh,.3672552874187733,.0527103380810275,.1413826410813779,.1424443138017213,.2362685767113104,.0884360676738559,.114429509926531,-.088672303
Barbados,.0577795431989301,.0605018276930391,.0861385522855432,.1000934105315663,.4856164695705842,.0828027764192618,.1970902106647325,-.025636725
Belarus,,,,,,,,
Belgium,.0126496886623755,.0749230679533252,.1716603241889769,.1858647033485443,.3591879916497584,.1148348630424405,.2561742125853592,-.096737258
Belize,.1201926842645179,.0335706171981958,.0939483700126213,.1133974983488364,.4652232642214731,.0263323347923692,.2497609256560944,-.060377754
Benin,.2713349904027848,.0955814938301901,.0889926797140585,.0950388859220934,.2354885392928224,.092518073887242,.2022015293984797,.0065888143
Bermuda,.0066270997869732,.0579262186737951,.0220910534358986,.0415578729779063,.6563450186909223,.0673105971815227,.1745762512234541,.035835166
Bhutan,.6275597579786888,.0258519016982881,.051929879698223,.0613137910364259,.1647244621989009,.0589545012106449,.0846256703128041,-.026077978
Bolivia (Plurinational State of),.130047083517215,.0593933158850298,.147838806886808,.3046299161543135,.338665812563075,.0459196150507449,.1104785652878992,-.088445492
Bosnia and Herzegovina,,,,,,,,
Botswana,.2039909005074154,.1406910193770369,.0501285922604623,.2393390038659332,.2417460066183793,.0135320404513242,.162320893829313,.090562426
Brazil,.0645589142735933,.0623525048839292,.2110472018656017,.2797070433853851,.4328198016357728,.0524064057910068,.1101521024454884,-.14869469
British Virgin Islands,.0651206422914541,.1700902893841721,.028367530732224,.0516640913155628,.441361197081483,.0960843700890189,.1707124463520099,.14172275
Brunei Darussalam,.0061614153414382,.0066251387914775,.0992433610758149,.9230638431030028,.0305500386733595,.0017176528819353,.0027524126783673,-.09261822
Bulgaria,.1399614507797481,.0493901955921114,.1612571871563306,.241383649906111,.4215259517778433,.047784561963955,.0949272667882256,-.11186699
Burkina Faso,.4217210839911634,.0584693370119246,.1573765068563557,.1859684646629311,.1405067217745815,.0208671873915977,.1616441943935763,-.098907173
Burundi,.6018617928284951,.0185502791418176,.112133349415565,.1274342473635944,.1891456892320003,.0085722433912659,.0544357480444348,-.09358307
Cabo Verde,.2555440423393741,.1188262011198898,.0798779100153294,.124151814730763,.235768870638191,.0941739450177573,.1768516010955807,.03894829
Cambodia,.4709669915900921,.0302042802356942,.073810257842838,.0792311090524959,.1521514108100898,.0651816000031497,.2229820172631518,-.043605976
Cameroon,.1833551408759827,.0663234303843217,.1421019618360101,.3999645026137004,.1805704171441288,.0240801066588169,.16492236227094,-.075778529
Canada,.032836069592049,.0708087286018395,.156103610939349,.3229528024889097,.4237146762034886,.0477439975448121,.1037129461003662,-.08529488
Cayman Islands,.0024800273492154,.0602252222956503,.01383397318734,.0435706224879856,.7156035476987801,.0711208877785498,.1070630936820314,.046391249
Central African Republic,.2857162188007063,.0144858130902723,.0982047474281453,.190736989845757,.2453537233422224,.012938722827388,.2523616121566792,-.083718933
Chad,.3885007327924792,.040699495698919,.0819405726157344,.0819948499811209,.1645049655771471,0,.3242999559493215,-.041241076
Chile,.0292405407763466,.082932758595425,.2194782973827133,.3617873358202863,.384614864798755,.0481587608626556,.0795745246268463,-.13654554
China,.467229154597592,.0449523167222855,0,.1691658517751767,.1442386613496194,.0416062275092274,.0717392239372103,.044952318
"China, Hong Kong SAR",.0080298957341033,.0646979260191022,.1931030007513057,.2144819400323425,.4532070563111531,.0825212311796002,.1925657814741043,-.12840508
"China, Macao SAR",,.0555355127650922,.1967423293838507,.1684111641588822,.7147318836912451,.0344228178928616,.0872017848581909,-.14120682
Colombia,.1157511349885932,.091132470260491,.1722633230527901,.2469567990383373,.3168148052804629,.0584010546959035,.1709437357361882,-.081130855
Comoros,.3590449153519469,.0933581545308556,.0315095509355049,.042523698500611,.229998818480321,.0328389046317921,.2473510286096824,.061848603
Congo,.0863206076618976,.0791720665582347,.0507756193590886,.24253165058851,.1665358327846565,.0628332995042642,.0832694523503732,.028396448
Cook Islands,.2472161372178378,.0910290891526886,.1060737164781718,.121479107368067,.3901998776694518,.0629053229516947,.1195239755049019,-.015044628
Costa Rica,.1329425949356001,.049851619307647,.1639816652589758,.1805029961545129,.4269640916199328,.0263061314192414,.2431376102202838,-.11413004
Croatia,,,,,,,,
Cuba,.1155314819615972,.1117892251659891,.1364303364386362,.1547452456573455,.2900756905861525,.0980168333951139,.2138352204716697,-.024641111
Curaçao,,,,,,,,
Cyprus,.1145443810151371,.2722692060666026,.1309301769801675,.1491346983355874,.2832720327754892,.0600581869245758,.104303414863793,.14133903
Czech Republic,,,,,,,,
Czechoslovakia (Former),.0319936134373157,.1257297186450055,.1733455539730605,.3170487629790282,.3464051083141633,.1127526274717234,.0743887218438277,-.047615834
Côte d'Ivoire,.1950566746836557,.0073538571021063,.0867335602834145,.104942248582605,.32399021720114,.1260562178471164,.247129023841543,-.0793797
D.P.R. of Korea,.2027710172855975,.0997913143316443,.246471548462174,.4038872773447767,.2727987841539504,,,-.14668024
D.R. of the Congo,.1109245233514942,.0321212056414054,.4631834274855389,.5623198972649991,.1268999728954077,.0847477290750808,.0829837770935798,-.43106222
Denmark,.0096206044404457,.114759539801743,.1739619875284306,.1904089990078596,.4565356362050199,.0903707055344166,.1410968861299779,-.059202448
Djibouti,.0328621859603007,.0828267913887001,.0356732538175227,.1101498690657048,.2089140508746988,.177080137914455,.4205039018651672,.047153536
Dominica,.3073247139479134,.0236326233209915,.033762167278447,.0700152146574659,.438640544644986,.062982337840483,.1091611058867823,-.010129544
Dominican Republic,.1924349676731154,.0766858570309834,.1909009637581895,.2149297696532522,.336501446087662,.034591846759805,.1486139753273186,-.11421511
Ecuador,.1207115632698462,.1593437226434319,.0970653109503689,.1206040130930058,.3714991276824418,.0594174325725113,.16895544256603,.062278412
Egypt,.3509530067628193,.0022703202877553,.1720500678949896,.284795149393425,.1572642206049247,.0338516131553467,.115950728598995,-.16977975
El Salvador,.1579095970809236,.0352464785481658,.2042512530580615,.2236837102142772,.2227788859259951,.0611551188803565,.2717753489222566,-.16900477
Equatorial Guinea,.2830722046576545,.0202837715802707,.0049526945530211,.0291583073178128,.0818811549611665,.0057242117178837,.0189428233392184,.015331077
Eritrea,,,,,,,,
Estonia,,,,,,,,
Ethiopia,,,,,,,,
Ethiopia (Former),.6581175674314176,.0599281520780656,.0470091384778202,.0640625275797604,.0980121875660513,.0288774841086598,.1354748821590067,.012919013
Fiji,.227809033019449,.0612845482316989,.1399539854187857,.1447343078850918,.4074727457869837,.0690573857533562,.0936376684845181,-.078669436
Finland,.066242433383574,.1338362176301314,.1464193872882979,.1699394037808492,.4214314574790496,.0878023429727288,.1125362138647892,-.01258317
Former Netherlands Antilles,.007176492565459,.0928516885941046,.0992833603283761,.1202734177329592,.3985988335799745,.2173655287636446,.1637340380533448,-.0064316718
France,.0220468963806369,.0930638949161567,.1428896402955497,.1618377716093352,.5354182079928348,.04542667235691,.1306815249246365,-.049825747
